,year,county,office,district,candidate,vote_share,pro_gun_control,candidate_male,candidate_hispanic
94,2014,HALE,senate,19,David M. Alameel,0.118070554,1,1,0
95,2014,HALL,senate,13,David M. Alameel,0.125899281,1,1,0
96,2014,HAMILTON,senate,25,David M. Alameel,0.155526431,1,1,0
97,2014,HANSFORD,senate,13,David M. Alameel,0.036020583,1,1,0
98,2014,HARDEMAN,senate,13,David M. Alameel,0.172839506,1,1,0
99,2014,HARDIN,senate,36,David M. Alameel,0.119479568,1,1,0
100,2014,HARRIS,senate,2,David M. Alameel,0.436767997,1,1,0
101,2014,HARRISON,senate,1,David M. Alameel,0.261788962,1,1,0
102,2014,HARTLEY,senate,13,David M. Alameel,0.069508804,1,1,0
103,2014,HASKELL,senate,19,David M. Alameel,0.229187071,1,1,0
104,2014,HAYS,senate,35,David M. Alameel,0.402403315,1,1,0
105,2014,HEMPHILL,senate,13,David M. Alameel,0.088945362,1,1,0
106,2014,HENDERSON,senate,5,David M. Alameel,0.185808115,1,1,0
107,2014,HIDALGO,senate,15,David M. Alameel,0.628100524,1,1,0
108,2014,HILL,senate,25,David M. Alameel,0.179172511,1,1,0
109,2014,HOCKLEY,senate,19,David M. Alameel,0.103815937,1,1,0
110,2014,HOOD,senate,11,David M. Alameel,0.1532412,1,1,0
111,2014,HOPKINS,senate,4,David M. Alameel,0.194600675,1,1,0
112,2014,HOUSTON,senate,8,David M. Alameel,0.189237269,1,1,0
113,2014,HOWARD,senate,19,David M. Alameel,0.157959284,1,1,0
114,2014,HUDSPETH,senate,23,David M. Alameel,0.390804598,1,1,0
115,2014,HUNT,senate,4,David M. Alameel,0.18557432,1,1,0
116,2014,HUTCHINSON,senate,13,David M. Alameel,0.086357373,1,1,0
117,2014,IRION,senate,11,David M. Alameel,0.089805825,1,1,0
118,2014,JACK,senate,13,David M. Alameel,0.102224895,1,1,0
119,2014,JACKSON,senate,27,David M. Alameel,0.143821023,1,1,0
120,2014,JASPER,senate,36,David M. Alameel,0.196332412,1,1,0
121,2014,JEFF DAVIS,senate,23,David M. Alameel,0.364849833,1,1,0
122,2014,JEFFERSON,senate,14,David M. Alameel,0.479176425,1,1,0
123,2014,JIM HOGG,senate,15,David M. Alameel,0.762611276,1,1,0
124,2014,JIM WELLS,senate,34,David M. Alameel,0.526797635,1,1,0
125,2014,JOHNSON,senate,25,David M. Alameel,0.171242438,1,1,0
126,2014,JONES,senate,19,David M. Alameel,0.15661882,1,1,0
127,2014,KARNES,senate,15,David M. Alameel,0.233793392,1,1,0
128,2014,KAUFMAN,senate,5,David M. Alameel,0.23627807,1,1,0
129,2014,KENDALL,senate,21,David M. Alameel,0.130350366,1,1,0
130,2014,KENEDY,senate,34,David M. Alameel,0.468468468,1,1,0
131,2014,KENT,senate,19,David M. Alameel,0.143835616,1,1,0
132,2014,KERR,senate,21,David M. Alameel,0.158916927,1,1,0
133,2014,KIMBLE,senate,11,David M. Alameel,0.075129534,1,1,0
134,2014,KING,senate,13,David M. Alameel,0.011363636,1,1,0
135,2014,KINNEY,senate,23,David M. Alameel,0.288331726,1,1,0
136,2014,KLEBERG,senate,34,David M. Alameel,0.467539863,1,1,0
137,2014,KNOX,senate,13,David M. Alameel,0.167061611,1,1,0
138,2014,LAMAR,senate,4,David M. Alameel,0.22000774,1,1,0
139,2014,LAMB,senate,19,David M. Alameel,0.120256284,1,1,0
140,2014,LAMPASAS,senate,25,David M. Alameel,0.156484215,1,1,0
141,2014,LASALLE,senate,23,David M. Alameel,0.479843953,1,1,0
142,2014,LAVACA,senate,27,David M. Alameel,0.12301013,1,1,0
143,2014,LEE,senate,10,David M. Alameel,0.198802694,1,1,0
144,2014,LEON,senate,17,David M. Alameel,0.104854369,1,1,0
145,2014,LIBERTY,senate,36,David M. Alameel,0.185429895,1,1,0
146,2014,LIMESTONE,senate,17,David M. Alameel,0.217067308,1,1,0
147,2014,LIPSCOMB,senate,13,David M. Alameel,0.089460784,1,1,0
148,2014,LIVE OAK,senate,15,David M. Alameel,0.133589415,1,1,0
149,2014,LLANO,senate,11,David M. Alameel,0.157315077,1,1,0
150,2014,LOVING,senate,23,David M. Alameel,0.081081081,1,1,0
151,2014,LUBBOCK,senate,19,David M. Alameel,0.199541029,1,1,0
152,2014,LYNN,senate,19,David M. Alameel,0.143482065,1,1,0
153,2014,MADISON,senate,8,David M. Alameel,0.172903226,1,1,0
154,2014,MARION,senate,4,David M. Alameel,0.3101983,1,1,0
155,2014,MARTIN,senate,11,David M. Alameel,0.103738318,1,1,0
156,2014,MASON,senate,11,David M. Alameel,0.154496541,1,1,0
157,2014,MATAGORDA,senate,27,David M. Alameel,0.271132618,1,1,0
158,2014,MAVERICK,senate,23,David M. Alameel,0.730422003,1,1,0
159,2014,MCCULLOCH,senate,11,David M. Alameel,0.124697337,1,1,0
160,2014,MCLENNAN,senate,17,David M. Alameel,0.265987309,1,1,0
161,2014,MCMULLEN,senate,28,David M. Alameel,0.072961373,1,1,0
162,2014,MEDINA,senate,23,David M. Alameel,0.21465691,1,1,0
163,2014,MENARD,senate,11,David M. Alameel,0.095343681,1,1,0
164,2014,MIDLAND,senate,11,David M. Alameel,0.116296592,1,1,0
165,2014,MILAM,senate,17,David M. Alameel,0.234515164,1,1,0
166,2014,MILLS,senate,11,David M. Alameel,0.081332301,1,1,0
167,2014,MITCHELL,senate,11,David M. Alameel,0.146902655,1,1,0
168,2014,MONTAGUE,senate,13,David M. Alameel,0.11159601,1,1,0
169,2014,MONTGOMERY,senate,8,David M. Alameel,0.153610416,1,1,0
170,2014,MOORE,senate,13,David M. Alameel,0.093503567,1,1,0
171,2014,MORRIS,senate,4,David M. Alameel,0.329514825,1,1,0
172,2014,MOTLEY,senate,13,David M. Alameel,0.033519553,1,1,0
173,2014,NACOGDOCHES,senate,1,David M. Alameel,0.219728969,1,1,0
174,2014,NAVARRO,senate,6,David M. Alameel,0.215645286,1,1,0
175,2014,NEWTON,senate,36,David M. Alameel,0.247003269,1,1,0
176,2014,NOLAN,senate,19,David M. Alameel,0.16820554,1,1,0
177,2014,NUECES,senate,27,David M. Alameel,0.400229898,1,1,0
178,2014,OCHILTREE,senate,13,David M. Alameel,0.034505208,1,1,0
179,2014,OLDHAM,senate,13,David M. Alameel,0.044280443,1,1,0
180,2014,ORANGE,senate,36,David M. Alameel,0.203862402,1,1,0
181,2014,PALO PINTO,senate,11,David M. Alameel,0.165776386,1,1,0
182,2014,PANOLA,senate,1,David M. Alameel,0.176039993,1,1,0
183,2014,PARKER,senate,12,David M. Alameel,0.140142202,1,1,0
184,2014,PARMER,senate,19,David M. Alameel,0.088774762,1,1,0
185,2014,PECOS,senate,23,David M. Alameel,0.315265487,1,1,0
186,2014,POLK,senate,36,David M. Alameel,0.194151342,1,1,0
187,2014,POTTER,senate,13,David M. Alameel,0.190770876,1,1,0
188,2014,PRESIDIO,senate,23,David M. Alameel,0.626321974,1,1,0
189,2014,RAINS,senate,4,David M. Alameel,0.150021617,1,1,0
190,2014,RANDALL,senate,13,David M. Alameel,0.107348837,1,1,0
191,2014,REAGAN,senate,23,David M. Alameel,0.108050847,1,1,0
192,2014,REAL,senate,21,David M. Alameel,0.127638191,1,1,0
193,2014,RED RIVER,senate,4,David M. Alameel,0.234117647,1,1,0
194,2014,REEVES,senate,23,David M. Alameel,0.464221825,1,1,0
195,2014,REFUGIO,senate,27,David M. Alameel,0.347155768,1,1,0
196,2014,ROBERTS,senate,13,David M. Alameel,0.036363636,1,1,0
197,2014,ROBERTSON,senate,17,David M. Alameel,0.34172213,1,1,0
198,2014,ROCKWALL,senate,4,David M. Alameel,0.186819682,1,1,0
199,2014,RUNNELS,senate,11,David M. Alameel,0.090081893,1,1,0
200,2014,RUSK,senate,1,David M. Alameel,0.172518635,1,1,0
201,2014,SABINE,senate,1,David M. Alameel,0.131073446,1,1,0
202,2014,SAN AUGUSTINE,senate,1,David M. Alameel,0.290766208,1,1,0
203,2014,SAN JACINTO,senate,8,David M. Alameel,0.223183103,1,1,0
204,2014,SAN PATRICIO,senate,27,David M. Alameel,0.32754086,1,1,0
205,2014,SAN SABA,senate,11,David M. Alameel,0.090122567,1,1,0
206,2014,SCHLEICHER,senate,23,David M. Alameel,0.228824273,1,1,0
207,2014,SCURRY,senate,19,David M. Alameel,0.101127683,1,1,0
208,2014,SHACKELFORD,senate,19,David M. Alameel,0.057692308,1,1,0
209,2014,SHELBY,senate,1,David M. Alameel,0.188468809,1,1,0
210,2014,SHERMAN,senate,13,David M. Alameel,0.052173913,1,1,0
211,2014,SMITH,senate,1,David M. Alameel,0.214900627,1,1,0
212,2014,SOMERVELL,senate,25,David M. Alameel,0.140923938,1,1,0
213,2014,STARR,senate,28,David M. Alameel,0.797939445,1,1,0
214,2014,STEPHENS,senate,11,David M. Alameel,0.084394904,1,1,0
215,2014,STERLING,senate,11,David M. Alameel,0.04415011,1,1,0
216,2014,STONEWALL,senate,19,David M. Alameel,0.202247191,1,1,0
217,2014,SUTTON,senate,23,David M. Alameel,0.126917713,1,1,0
218,2014,SWISHER,senate,13,David M. Alameel,0.218016654,1,1,0
219,2014,TARRANT,senate,12,David M. Alameel,0.375811654,1,1,0
220,2014,TAYLOR,senate,19,David M. Alameel,0.151444464,1,1,0
221,2014,TERRELL,senate,23,David M. Alameel,0.329608939,1,1,0
222,2014,TERRY,senate,19,David M. Alameel,0.144470588,1,1,0
223,2014,THROCKMORTON,senate,19,David M. Alameel,0.106425703,1,1,0
224,2014,TITUS,senate,4,David M. Alameel,0.231141589,1,1,0
225,2014,TOM GREEN,senate,11,David M. Alameel,0.168315143,1,1,0
226,2014,TRAVIS,senate,25,David M. Alameel,0.601230264,1,1,0
227,2014,TRINITY,senate,8,David M. Alameel,0.223211876,1,1,0
228,2014,TYLER,senate,36,David M. Alameel,0.18226601,1,1,0
229,2014,UPSHUR,senate,4,David M. Alameel,0.154060606,1,1,0
230,2014,UPTON,senate,23,David M. Alameel,0.154103853,1,1,0
231,2014,UVALDE,senate,23,David M. Alameel,0.383867632,1,1,0
232,2014,VAL VERDE,senate,23,David M. Alameel,0.492694064,1,1,0
233,2014,VAN ZANDT,senate,5,David M. Alameel,0.13557094,1,1,0
234,2014,VICTORIA,senate,27,David M. Alameel,0.22557445,1,1,0
235,2014,WALKER,senate,8,David M. Alameel,0.260013071,1,1,0
236,2014,WALLER,senate,10,David M. Alameel,0.267942584,1,1,0
237,2014,WARD,senate,23,David M. Alameel,0.22329576,1,1,0
238,2014,WASHINGTON,senate,10,David M. Alameel,0.183229094,1,1,0
239,2014,WEBB,senate,28,David M. Alameel,0.670291929,1,1,0
240,2014,WHARTON,senate,27,David M. Alameel,0.216889881,1,1,0
241,2014,WHEELER,senate,13,David M. Alameel,0.076679842,1,1,0
242,2014,WICHITA,senate,13,David M. Alameel,0.204887964,1,1,0
243,2014,WILBARGER,senate,13,David M. Alameel,0.186506398,1,1,0
244,2014,WILLACY,senate,34,David M. Alameel,0.576172905,1,1,0
245,2014,WILLIAMSON,senate,31,David M. Alameel,0.34816544,1,1,0
246,2014,WILSON,senate,28,David M. Alameel,0.219583375,1,1,0
247,2014,WINKLER,senate,23,David M. Alameel,0.140829694,1,1,0
248,2014,WISE,senate,13,David M. Alameel,0.139166667,1,1,0
249,2014,WOOD,senate,5,David M. Alameel,0.115509109,1,1,0
250,2014,YOAKUM,senate,19,David M. Alameel,0.068681319,1,1,0
251,2014,YOUNG,senate,19,David M. Alameel,0.105751766,1,1,0
252,2014,ZAPATA,senate,28,David M. Alameel,0.70415879,1,1,0
253,2014,ZAVALA,senate,23,David M. Alameel,0.763061074,1,1,0
0,2016,ANGELINA,house,1,Shirley McKellar,0.324668799,1,0,0
1,2016,ARANSAS,house,27,Raul (Roy) Barrera,0.243979965,,1,1
2,2016,ATASCOSA,house,28,Henry Cuellar,0.470436628,0,1,1
3,2016,AUSTIN,house,10,Tawana W. Cadien,0.162999323,1,0,1
4,2016,BANDERA,house,21,Tom Wakely,0.158058494,1,1,0
5,2016,BASTROP,house,10,Tawana W. Cadien,0.38228515,1,0,1
6,2016,BASTROP,house,17,William Matta,0.306493506,1,1,0
7,2016,BASTROP,house,27,Raul (Roy) Barrera,0.383187483,,1,1
8,2016,BEE,house,34,Filemon B. Vela,0.434324887,0,1,1
9,2016,BELL,house,25,Kathi Thomas,0.654854239,1,0,0
10,2016,BELL,house,31,Mike Clark,0.352228051,1,1,0
11,2016,BEXAR,house,21,Tom Wakely,0.379269415,1,1,0
12,2016,BEXAR,house,23,Pete P. Gallego,0.433159673,0,1,1
13,2016,BEXAR,house,28,Henry Cuellar,0.541485689,0,1,1
14,2016,BEXAR,house,35,Lloyd Doggett,0.678270162,1,1,0
15,2016,BLANCO,house,21,Tom Wakely,0.208271237,1,1,0
16,2016,BOSQUE,house,25,Kathi Thomas,0.172592889,1,0,0
17,2016,BRAZORIA,house,14,Michael Cole,0.387108685,0,1,0
18,2016,BRAZORIA,house,22,Mark Gibson,0.394502464,1,1,0
19,2016,BRAZOS,house,17,William Matta,0.310439252,1,1,0
20,2016,BREWSTER,house,23,Pete P. Gallego,0.539423077,0,1,1
21,2016,BROOKS,house,15,Vincete Gonzalez,0.83277027,1,1,1
22,2016,BURLESON,house,17,William Matta,0.203873448,1,1,0
23,2016,BURNET,house,25,Kathi Thomas,0.200173263,1,0,0
24,2016,CALDWELL,house,27,Raul (Roy) Barrera,0.356547713,,1,1
25,2016,CALDWELL,house,35,Lloyd Doggett,0.555680329,1,1,0
26,2016,CALHOUN,house,27,Raul (Roy) Barrera,0.316896194,,1,1
27,2016,CAMERON,house,34,Filemon B. Vela,0.687795197,0,1,1
28,2016,CHAMBERS,house,36,Hal J Ridley Jr. ,0.076530612,1,1,0
29,2016,COLLIN,house,3,Adam P. Bell,0.564940831,1,1,0
30,2016,COLORADO,house,10,Tawana W. Cadien,0.220101623,1,0,1
31,2016,COMAL,house,21,Tom Wakely,0.184827384,1,1,0
32,2016,COMAL,house,35,Lloyd Doggett,0.339436367,1,1,0
33,2016,CORYELL,house,25,Kathi Thomas,0.284874337,1,0,0
34,2016,CRANE,house,23,Pete P. Gallego,0.238385377,0,1,1
35,2016,CROCKETT,house,23,Pete P. Gallego,0.345549738,0,1,1
36,2016,CULBERSON,house,23,Pete P. Gallego,0.663394109,0,1,1
37,2016,DALLAS,house,24,Jan McDowell,0.491272481,1,1,0
38,2016,DALLAS,house,26,Eric Mauck,0.406976744,1,1,0
39,2016,DALLAS,house,30,Eddie Bernice Johnson,0.804178851,1,0,0
40,2016,DALLAS,house,33,Marc Veasy,0.701620864,1,1,0
41,2016,DENTON,house,24,Jan McDowell,0.438669486,1,1,0
42,2016,DENTON,house,26,Eric Mauck,0.32065032,1,1,0
43,2016,DEWITT,house,34,Filemon B. Vela,0.178253657,0,1,1
44,2016,DIMMIT,house,23,Pete P. Gallego,0.685964322,0,1,1
45,2016,DUVAL,house,15,Vincete Gonzalez,0.794094174,1,1,1
46,2016,EDWARDS,house,23,Pete P. Gallego,0.297325103,0,1,1
47,2016,EL PASO,house,23,Pete P. Gallego,0.842229713,0,1,1
48,2016,ELLIS,house,6,Ruby Faye Woolridge,0.318387877,1,0,1
49,2016,ERATH,house,25,Kathi Thomas,0.161639344,1,0,0
50,2016,FALLS,house,17,William Matta,0.299346664,1,1,0
51,2016,FAYETTE,house,10,Tawana W. Cadien,0.175766148,1,0,1
52,2016,FORT BEND,house,9,Al Green,0.793993994,1,1,0
53,2016,FORT BEND,house,22,Mark Gibson,0.401447906,1,1,0
54,2016,FREESTONE,house,17,William Matta,0.187794077,1,1,0
55,2016,FRIO,house,23,Pete P. Gallego,0.564981504,0,1,1
56,2016,GALVESTON,house,14,Michael Cole,0.537592362,0,1,0
57,2016,GILLESPIE,house,21,Tom Wakely,0.152964744,1,1,0
58,2016,GOLIAD,house,34,Filemon B. Vela,0.308571429,0,1,1
59,2016,GONZALES,house,27,Raul (Roy) Barrera,0.267676768,,1,1
60,2016,GONZALES,house,34,Filemon B. Vela,0.20878494,0,1,1
61,2016,GREGG,house,1,Shirley McKellar,0.380268297,1,0,0
62,2016,GUADALUPE,house,15,Vincete Gonzalez,0.311131366,1,1,1
63,2016,GUADALUPE,house,35,Lloyd Doggett,0.342244011,1,1,0
64,2016,HAMILTON,house,25,Kathi Thomas,0.138282387,1,0,0
65,2016,HARDIN,house,36,Hal J Ridley Jr. ,0.056777757,1,1,0
66,2016,HARRIS,house,2,Pat Bryan,0.594165698,1,1,0
67,2016,HARRIS,house,7,James Cargas,0.780196737,1,1,0
68,2016,HARRIS,house,9,Al Green,0.811555795,1,1,0
69,2016,HARRIS,house,10,Tawana W. Cadien,0.293275458,1,0,1
70,2016,HARRIS,house,18,Sheila Jackson Lee,0.4236159,1,0,0
71,2016,HARRIS,house,22,Mark Gibson,0.445083127,1,1,0
72,2016,HARRIS,house,29,Gene Green,0.751396363,0,1,0
73,2016,HARRIS,house,36,Hal J Ridley Jr. ,0.160540671,1,1,0
74,2016,HARRISON,house,1,Shirley McKellar,0.361175847,1,0,0
75,2016,HAYS,house,21,Tom Wakely,0.423724013,1,1,0
76,2016,HAYS,house,25,Kathi Thomas,0.366844151,1,0,0
77,2016,HAYS,house,35,Lloyd Doggett,0.593625968,1,1,0
78,2016,HIDALGO,house,15,Vincete Gonzalez,0.735346359,1,1,1
79,2016,HIDALGO,house,28,Henry Cuellar,0.753851395,0,1,1
80,2016,HIDALGO,house,34,Filemon B. Vela,0.732909121,0,1,1
81,2016,HILL,house,25,Kathi Thomas,0.200499235,1,0,0
82,2016,HUDSPETH,house,23,Pete P. Gallego,0.462893082,0,1,1
83,2016,JACKSON,house,27,Raul (Roy) Barrera,0.173197492,,1,1
84,2016,JASPER,house,36,Hal J Ridley Jr. ,0.085919056,1,1,0
85,2016,JEFF DAVIS,house,23,Pete P. Gallego,0.446771379,0,1,1
86,2016,JEFFERSON,house,14,Michael Cole,0.956403022,0,1,0
87,2016,JIM HOGG,house,15,Vincete Gonzalez,0.871235722,1,1,1
88,2016,JIM WELLS,house,34,Filemon B. Vela,0.573044139,0,1,1
89,2016,JOHNSON,house,25,Kathi Thomas,0.192028328,1,0,0
90,2016,KARNES,house,15,Vincete Gonzalez,0.322376738,1,1,1
91,2016,KENDALL,house,21,Tom Wakely,0.15688547,1,1,0
92,2016,KENEDY,house,34,Filemon B. Vela,0.610778443,0,1,1
93,2016,KERR,house,21,Tom Wakely,0.184693784,1,1,0
94,2016,KINNEY,house,23,Pete P. Gallego,0.337234821,0,1,1
95,2016,KLEBERG,house,34,Filemon B. Vela,0.515996096,0,1,1
96,2016,LAMPASAS,house,25,Kathi Thomas,0.183023197,1,0,0
97,2016,LASALLE,house,23,Pete P. Gallego,0.599257885,0,1,1
98,2016,LASALLE,house,28,Henry Cuellar,0.772321429,0,1,1
99,2016,LAVACA,house,27,Raul (Roy) Barrera,0.141372387,,1,1
100,2016,LEE,house,10,Tawana W. Cadien,0.1975042,1,0,1
101,2016,LEE,house,17,William Matta,0.20700309,1,1,0
102,2016,LEON,house,17,William Matta,0.115508021,1,1,0
103,2016,LIBERTY,house,36,Hal J Ridley Jr. ,0.091876254,1,1,0
104,2016,LIMESTONE,house,17,William Matta,0.22715685,1,1,0
105,2016,LIVE OAK,house,15,Vincete Gonzalez,0.184547244,1,1,1
106,2016,LOVING,house,23,Pete P. Gallego,0.142857143,0,1,1
107,2016,MATAGORDA,house,27,Raul (Roy) Barrera,0.305126464,,1,1
108,2016,MAVERICK,house,23,Pete P. Gallego,0.777952756,0,1,1
109,2016,MCLENNAN,house,17,William Matta,0.321950646,1,1,0
110,2016,MCMULLEN,house,28,Henry Cuellar,0.254237288,0,1,1
111,2016,MEDINA,house,23,Pete P. Gallego,0.260097514,0,1,1
112,2016,MILAM,house,17,William Matta,0.232785697,1,1,0
113,2016,NACOGDOCHES,house,1,Shirley McKellar,0.422489588,1,0,0
114,2016,NAVARRO,house,6,Ruby Faye Woolridge,0.309284398,1,0,1
115,2016,NEWTON,house,36,Hal J Ridley Jr. ,0.097426471,1,1,0
116,2016,NUECES,house,27,Raul (Roy) Barrera,0.496269958,,1,1
117,2016,ORANGE,house,36,Hal J Ridley Jr. ,0.081673099,1,1,0
118,2016,PANOLA,house,1,Shirley McKellar,0.214388317,1,0,0
119,2016,PARKER,house,12,Bill Bradshaw,0.145572282,,1,0
120,2016,PECOS,house,23,Pete P. Gallego,0.436151748,0,1,1
121,2016,POLK,house,36,Hal J Ridley Jr. ,0.093707693,1,1,0
122,2016,PRESIDIO,house,23,Pete P. Gallego,0.701492537,0,1,1
123,2016,REAGAN,house,23,Pete P. Gallego,0.206385405,0,1,1
124,2016,REAL,house,21,Tom Wakely,0.117684078,1,1,0
125,2016,REEVES,house,23,Pete P. Gallego,0.598165761,0,1,1
126,2016,REFUGIO,house,27,Raul (Roy) Barrera,0.367079646,,1,1
